[*] Looking for AMF container process...
    pid=146560
    exe=/proc/146560/exe

    cgroup_id=26258

[*] Attaching uprobes...
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing AMF (pid=146560). Ctrl+C to stop.

NF    API
────  ────────────────────────────────
[06:22:29.829295] AMF   READ     33     bytes  pid=146560
[06:22:29.829325] AMF   WRITE    8      bytes  pid=146560
[06:22:29.829336] AMF   READ     8      bytes  pid=146560
[06:22:29.829365] AMF   READ     64     bytes  pid=146560
[06:22:29.829498] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.829548] AMF   WRITE    70     bytes  pid=146560
[06:22:29.829696] AMF   WRITE    128    bytes  pid=146560
[06:22:29.829729] AMF   READ     39     bytes  pid=146560
[06:22:29.829740] AMF   WRITE    131    bytes  pid=146560
[06:22:29.829765] AMF   WRITE    9      bytes  pid=146560
[06:22:29.829793] AMF   READ     22     bytes  pid=146560
[06:22:29.834587] AMF   READ     63     bytes  pid=146560
[06:22:29.834673] AMF   READ     623    bytes  pid=146560
[06:22:29.834929] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.834982] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.835021] AMF   WRITE    44     bytes  pid=146560
[06:22:29.835085] AMF   WRITE    44     bytes  pid=146560
[06:22:29.835243] AMF   READ     64     bytes  pid=146560
[06:22:29.835253] AMF   READ     33     bytes  pid=146560
[06:22:29.835451] AMF   CONNECT  → 10.100.200.9:8000       pid=146560
[06:22:29.835517] AMF   WRITE    70     bytes  pid=146560
[06:22:29.835633] AMF   WRITE    614    bytes  pid=146560
[06:22:29.835834] AMF   READ     17     bytes  pid=146560
[06:22:29.835954] AMF   READ     39     bytes  pid=146560
[06:22:29.835968] AMF   WRITE    9      bytes  pid=146560
[06:22:29.836085] AMF   READ     22     bytes  pid=146560
[06:22:29.842782] AMF   READ     63     bytes  pid=146560
[06:22:29.842867] AMF   READ     188    bytes  pid=146560
[06:22:29.843102] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.843103] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.843121] AMF   WRITE    44     bytes  pid=146560
[06:22:29.843121] AMF   WRITE    44     bytes  pid=146560
[06:22:29.843292] AMF   READ     64     bytes  pid=146560
[06:22:29.843301] AMF   READ     33     bytes  pid=146560
[06:22:29.843443] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.843495] AMF   WRITE    70     bytes  pid=146560
[06:22:29.843602] AMF   WRITE    128    bytes  pid=146560
[06:22:29.843658] AMF   WRITE    131    bytes  pid=146560
[06:22:29.844128] AMF   READ     61     bytes  pid=146560
[06:22:29.844138] AMF   READ     17     bytes  pid=146560
[06:22:29.844141] AMF   WRITE    9      bytes  pid=146560
[06:22:29.848233] AMF   READ     686    bytes  pid=146560
[06:22:29.848540] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.848564] AMF   WRITE    44     bytes  pid=146560
[06:22:29.848632] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.848653] AMF   WRITE    44     bytes  pid=146560
[06:22:29.848950] AMF   READ     33     bytes  pid=146560
[06:22:29.848951] AMF   READ     64     bytes  pid=146560
[06:22:29.849234] AMF   CONNECT  → 10.100.200.9:8000       pid=146560
[06:22:29.849316] AMF   WRITE    70     bytes  pid=146560
